model_name,mode,attention_position,params_total,params_trainable,flops,best_val_acc,best_val_f1,train_time_seconds,checkpoint_path,test_acc,test_precision,test_recall,test_f1,inference_time_ms
EfficientNet_B1_Baseline,baseline,none,6518308,6518308,1466421472.0,0.9210526315789473,0.9305263157894736,445.10493445396423,/kaggle/working/results/best_EfficientNet_B1_Baseline.pth,0.9247730220492867,0.9259140854409397,0.9359803296871866,0.9291796122506799,1.0486125327579088
EfficientNet_B1_CBAM_Last,cbam_last,last,6723206,6723206,1467419616.0,0.9210526315789473,0.9281045751633986,593.2733509540558,/kaggle/working/results/best_EfficientNet_B1_CBAM_Last.pth,0.9182879377431906,0.9271409690764529,0.9331035316884374,0.9261108775362339,1.1672676769212063
EfficientNet_B1_CA_Last,ca_last,last,6671988,6671988,1469703392.0,0.9210526315789473,0.9281045751633986,607.1375064849854,/kaggle/working/results/best_EfficientNet_B1_CA_Last.pth,0.9442282749675746,0.9591592617908408,0.9604620222544751,0.9597170663307792,1.0864997497637756
EfficientNet_B1_CA_CBAM_Last,ca_cbam_last,last,6876886,6876886,1470701536.0,0.9473684210526315,0.9541666666666666,751.8327322006226,/kaggle/working/results/best_EfficientNet_B1_CA_CBAM_Last.pth,0.9364461738002594,0.9618239741479179,0.9489235607160136,0.9533194575532871,1.1348844966072054
EfficientNet_B1_CBAM_Stage,cbam_stage,stage,6535912,6535912,1466582752.0,0.9210526315789473,0.9281045751633986,603.5512797832489,/kaggle/working/results/best_EfficientNet_B1_CBAM_Stage.pth,0.9273670557717251,0.9368751110952498,0.9431623931623931,0.9364996586583889,1.1869194288043505
EfficientNet_B1_CA_Stage,ca_stage,stage,6532552,6532552,1466726880.0,0.9473684210526315,0.9529914529914529,750.2328770160675,/kaggle/working/results/best_EfficientNet_B1_CA_Stage.pth,0.9079118028534371,0.9419275483545596,0.927991452991453,0.9305184119665874,1.164995433446189
EfficientNet_B1_CA_CBAM_Stage,ca_cbam_stage,stage,6535830,6535830,1466626144.0,0.9210526315789473,0.9305263157894736,522.329409122467,/kaggle/working/results/best_EfficientNet_B1_CA_CBAM_Stage.pth,0.9092088197146563,0.9154699854445933,0.9286324786324787,0.9163840213072076,1.1680376668848416
