Model,Best Epoch,Best Val Loss,Best Val Accuracy,Best Val Macro F1,Test Loss,Test Accuracy,Test Macro Precision,Test Macro Recall,Test Macro F1,Test Weighted F1,Total Parameters,Trainable Parameters,Additional Parameters vs Baseline,Training Time (minutes),Best Checkpoint,Final Checkpoint
DenseNet121,9,0.05147623074682135,0.9736842105263158,0.9768421052631578,0.36191585122688585,0.9182879377431906,0.9107218649446269,0.9348048701822287,0.9194846151305959,0.9168744174435026,7480708,7480708,0,36.79185236692429,/kaggle/working/densenet_ca_comparison/densenet121_best.pth,/kaggle/working/densenet_ca_comparison/densenet121_final.pth
DenseNet121 + CA,9,0.03295080912740607,1.0,1.0,0.3369782575528135,0.9234760051880675,0.9107039956088357,0.9369174326721497,0.9211286680798876,0.9231295419963922,7581124,7581124,100416,37.48747095266978,/kaggle/working/densenet_ca_comparison/densenet121_ca_best.pth,/kaggle/working/densenet_ca_comparison/densenet121_ca_final.pth
